fid,district,dist_name,shape_star,shape_stle,SHAPE__Len,SHAPE__Are,dist_area,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTAre,ShapeSTLen,trac_area,int_area
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2561","24","510","080700","24510080700","807",Census Tract,G5020,S,"298756","0","+39.3070324","-076.5932887",499671.699218750000000,3100.726831557611149,"298758","298758"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2562","24","510","261000","24510261000","2610",Census Tract,G5020,S,"310026","0","+39.2935829","-076.5708757",518317.218750000000000,4027.937416173072506,"310024","361"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2834","24","510","260302","24510260302","2603.02",Census Tract,G5020,S,"896864","0","+39.3170679","-076.5644287",1500430.734375000000000,5672.351492564966065,"896865","32"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2845","24","510","260303","24510260303","2603.03",Census Tract,G5020,S,"1218862","0","+39.3125925","-076.5604701",2038868.804687500000000,7206.962830549455248,"1218864","333493"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2846","24","510","260401","24510260401","2604.01",Census Tract,G5020,S,"1341147","0","+39.3062321","-076.5527959",2243016.300781250000000,6456.019093659301689,"1341149","288964"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2878","24","510","260404","24510260404","2604.04",Census Tract,G5020,S,"4467107","0","+39.3000662","-076.5528630",7469762.078125000000000,15389.574397184818736,"4467115","1491629"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2886","24","510","090800","24510090800","908",Census Tract,G5020,S,"846055","0","+39.3155244","-076.6036910",1415358.015625000232831,4896.196255649272643,"846051","718661"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2887","24","510","100200","24510100200","1002",Census Tract,G5020,S,"304692","0","+39.2998552","-076.6022617",509489.808593750000000,3036.545841446867144,"304690","304690"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2888","24","510","100300","24510100300","1003",Census Tract,G5020,S,"156309","0","+39.2995112","-076.6091250",261370.656250000029104,2046.741024988424215,"156309","156309"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2895","24","510","110100","24510110100","1101",Census Tract,G5020,S,"313921","0","+39.3002458","-076.6128641",524931.503906250000000,3932.170521822234150,"313921","22089"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2898","24","510","120300","24510120300","1203",Census Tract,G5020,S,"403945","0","+39.3199472","-076.6124858",675842.546875000000000,3415.458602408161823,"403944","53476"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2899","24","510","120500","24510120500","1205",Census Tract,G5020,S,"534553","0","+39.3085848","-076.6140036",894072.757812500000000,4504.742700313904606,"534550","243239"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2203","24","510","260101","24510260101","2601.01",Census Tract,G5020,S,"1635742","0","+39.3438880","-076.5353622",2738641.660156250000000,7724.613946525718347,"1635746","1632643"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2204","24","510","260102","24510260102","2601.02",Census Tract,G5020,S,"1451520","0","+39.3349700","-076.5404207",2429588.453124999534339,7056.331908091951846,"1451521","1449933"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2205","24","510","260201","24510260201","2602.01",Census Tract,G5020,S,"1648547","0","+39.3295860","-076.5500474",2758953.597656250000000,7007.187447635900753,"1648547","1648547"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2212","24","510","080101","24510080101","801.01",Census Tract,G5020,S,"2323952","1899","+39.3228490","-076.5790240",3891774.054687500000000,9019.037464755401743,"2325851","2325796"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2213","24","510","080102","24510080102","801.02",Census Tract,G5020,S,"365633","0","+39.3170456","-076.5758920",611698.859375000000000,3596.167584385502778,"365636","365632"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2218","24","510","080200","24510080200","802",Census Tract,G5020,S,"856268","0","+39.3119650","-076.5816166",1432306.898437500000000,5733.623796063570808,"856269","79353"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2221","24","510","080500","24510080500","805",Census Tract,G5020,S,"348376","0","+39.3141597","-076.5938464",582775.417968750000000,3452.674001713088728,"348376","27896"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2223","24","510","090100","24510090100","901",Census Tract,G5020,S,"657875","0","+39.3369651","-076.6036954",1101222.957031250000000,4745.532790982840197,"657872","315405"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2534","24","510","270501","24510270501","2705.01",Census Tract,G5020,S,"2319872","2012","+39.3656275","-076.5361691",3889774.839843750000000,8032.972520920056013,"2321890","2301091"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2556","24","510","270701","24510270701","2707.01",Census Tract,G5020,S,"399831","0","+39.3699355","-076.5664561",669914.378906250000000,3656.180763245856724,"399834","388078"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2831","24","510","260202","24510260202","2602.02",Census Tract,G5020,S,"1044018","1618","+39.3252333","-076.5566614",1749699.898437499767169,6092.711391586126410,"1045635","1045635"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2832","24","510","260203","24510260203","2602.03",Census Tract,G5020,S,"853290","0","+39.3226431","-076.5436195",1427756.671875000000000,7243.306937489212032,"853290","853290"
